Session,Assessor,Product,Fineness of texture,Reflection,Transparency,Thickness Flow,Peaking,Stringy,Cushion,Instant whitening,Covering,Pick up,Bounce,Firmness,Spreadability,Watery,Greasiness,Cooling,Shininess instant ,Smoothness instant ,Stickiness instant ,Residue instant ,Shininess 2 min ,Smoothness 2 min ,Stickiness 2 min ,Residue 2 min ,Shininess 5 min ,Smoothness 5 min ,Stickiness 5 min ,Residue 5 min ,Speed of absorption,Overall_Texture,Color_Tone,Overall_Spreadability,Absorption_Speed,Odour_after_applying,Smoothness,Leaves_no_residue_feel,Stickiness,Moisturizing,Brightening_effect,Tightening,Overall_Liking
1,2,SK-II,11.5,10.5,6.5,5.5,1.5,1.5,9,2.5,3,7,6.5,5,9.5,6.5,8.5,7.5,7.5,7,7.5,7.5,6.5,6,6.5,8.5,5.5,5,5.5,5.5,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,3,SK-II,8,9,6.5,6,3,2.5,8,1.5,1.5,6,6,3.5,8.5,6.5,8,7,9,6,9,9,8,6.5,8.5,7.5,8,6,8,8,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,6,SK-II,10,7.5,5,3,1,1.5,8,0.5,0.5,5,3.5,4,7.5,6,8,5,7.5,6,7.5,8,5.5,4,5,6,4.5,5,3.5,2.5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,7,SK-II,12,12,6,6.5,1,4.5,5,0,0,4,2.5,3.5,10,9,6.5,6.5,7,6,6.5,6.5,6.5,7,6,6,5.5,8.5,5,5,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,10,SK-II,9,11,2.5,7.5,1,1,5,1,0.5,4.5,5,5,12,6,8,8,9,7.5,8,7.5,8,6,7,6.5,7,5.5,6.5,5.5,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,11,SK-II,10,12,4,2,2.5,3,3,2,2,10.5,4.5,2,10,8,4,4,8,6,4.5,8,7,4.5,2,6,6,6,3,5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,12,SK-II,12.5,10,6.5,5,1,4.5,8.5,1,1,8.5,7,1.5,12,6.5,7.5,3,7.5,7.5,5.5,7.5,7,8,4.5,7,6.5,9,2.5,6.5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,14,SK-II,10.5,12,4.5,5.5,3,3,6.5,0.5,0.5,9,3,3,9,7,5,6,6.5,6.5,6.5,6,6,6.5,6,6,5,6.5,5,5,10,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,15,SK-II,10,12,7.5,5,1,3,10,0,0,4.5,1.5,3,11.5,6,7.5,7.5,9.5,8,6.5,8.5,9,7.5,7,7.5,8,8,6.5,6.5,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,16,SK-II,10.5,9,9,6,2.5,2.5,5.5,2.5,2,4,2.5,3.5,9,8,6.5,5,6.5,6,6.5,6,5.5,6.5,5.5,5.5,5,8,4,4,9,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,17,SK-II,9.5,9,7,6,3.5,4,6.5,1.5,2,5.5,5.5,5.5,10,7,8,7,8,7.5,7.5,6.5,6,7,6,6,5,7,5,5.5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,22,SK-II,12,9,6.5,4,1,3,5.5,0,0,6,3,3,9.5,7,8,6.5,8,8,5.5,6.5,7,8.5,4.5,5,6.5,9,3.5,4.5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,2,SK-II,11.5,11,8.5,5,1.5,1.5,8,2,2,5,5,5,8.5,7,8,7.5,7,7,7,7,6,6,6,6,5,5.5,5,5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,3,SK-II,8.5,8.5,6,6.5,3.5,3,7,1,1,5,6,3.5,9.5,6,9.5,6.5,9.5,6,9.5,9.5,9,6,8.5,8.5,8.5,5.5,8.5,8,6,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,6,SK-II,8.5,7.5,5,4.5,0.5,0.5,6,1,0.5,5,4,3,10,7,8.5,7.5,7.5,6,7.5,7.5,6,6,6.5,6.5,4.5,5.5,4,4,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,7,SK-II,10.5,9.5,5.5,7,1.5,2,5,0,0,4.5,2.5,4,10,9,6.5,7,7,5.5,7.5,7.5,6.5,6,7,7,5.5,7,6.5,6.5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,10,SK-II,9,11,2.5,7,1,2,5,1,0.5,4,4,4,10,6,8,8,9,7.5,7.5,7.5,8,6,6,6,7,5,5,5,7.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,11,SK-II,10.5,12.5,4.5,2,2.5,2.5,3,2,2,5,4.5,2,12,3,10,6,7.5,3.5,5,7.5,6,4,3,6,6.5,3.5,3.5,3.5,9,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,12,SK-II,13,10,4,5,1,3,8.5,1,1,8.5,6.5,1.5,10,6,7,3.5,7,7.5,3.5,7.5,6.5,8,3.5,7,6,8.5,3,6,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,14,SK-II,9,10.5,4,6,5,5,8,1.5,1.5,8,3,4,8,7,6,5,6.5,6.5,5.5,5.5,5,6.5,5,5,5,7,5,4.5,9,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,15,SK-II,10,11,8,5,1.5,3.5,9,0,0,5.5,2,3,11,7,6.5,7.5,8.5,7.5,7,7.5,8,8,6.5,6,8,6.5,7.5,5.5,8,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,16,SK-II,10.5,10,7.5,6.5,2,2,5,2,2,3.5,2.5,3,8,8,6,4.5,6.5,8.5,6.5,6.5,6,9,5.5,5.5,4.5,7.5,3,3,10,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,17,SK-II,9.5,9,7,6,3,4,7,1,1,5.5,5.5,5.5,9.5,7,8,6.5,8.5,7,7.5,6.5,6,6,5.5,5.5,5.5,7.5,5,5.5,7,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
2,22,SK-II,12,9,6.5,8,1,3,5,0,0,5,3,3,9.5,7.5,9,7,8,8,4.5,7,7,8,5,6.5,6.5,8.5,3.5,5,8.5,4.140495868,4.041322314,4.280991736,4.049586777,4.041322314,4.132231405,4.107438017,3.702479339,4.190082645,4.074380165,3.884297521,4.049586777
1,2,Olay_brightening,11,10,9,4.5,1,1,8,1.5,1.5,4,4,3.5,10.5,9,6,8.5,7.5,6.5,6.5,7,6.5,7,5.5,6,5.5,6,5.5,5,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,3,Olay_brightening,7.5,8,8,6,3,2.5,6,1,1,5.5,6,3.5,9.5,6,9.5,7.5,8.5,6,8.5,8.5,7,6,8.5,7,7,6.5,8,7,7.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,6,Olay_brightening,8.5,7,5,2.5,1,1,7.5,0.5,0.5,5,1,1,10.5,9,6,6,7,7.5,7,7,5,8,4,4,4,7.5,2,2.5,9.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,7,Olay_brightening,12,13,8,6,1,2,5.5,0,0,4,2,3.5,10,8.5,6,7,6.5,6.5,6.5,6.5,6,7.5,6,6,5.5,8,4.5,4.5,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,10,Olay_brightening,8,11,10,6,1,1.5,4,1,0.5,2.5,2,2,12,6,8,7.5,9,7.5,7.5,7.5,8,6,8,6,7,5.5,7.5,5,7.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,11,Olay_brightening,10,11.5,9.5,2,1.5,3,2,2,2,4,4.5,2.5,11,10.5,3,4.5,6,4.5,3,7.5,6,4.5,3,5,5.5,4,3,4,10.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,12,Olay_brightening,13,9,11,4,1,2.5,8,1,1,7.5,7,1,11,6.5,7.5,4,7.5,7,5.5,7,7,7.5,4,6.5,6.5,9,3,6,9,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,14,Olay_brightening,11,12,9,4,3,3,6,0,0,6.5,3,3,9,7.5,6,6,6.5,6.5,6,6,5.5,7,5,5,5,7.5,4,4,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,15,Olay_brightening,9.5,10.5,9,4,0.5,0.5,6,0,0,3.5,1.5,2,11.5,7,7.5,7.5,8.5,8,7,7,8,7.5,6.5,6.5,8,7,6.5,4.5,9,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,16,Olay_brightening,12,9,13,5,2,2,3.5,1.5,1.5,2,2,2.5,9,8.5,7,5.5,6.5,7,6.5,6,6,8,5.5,4.5,5,8,3.5,3.5,10.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,17,Olay_brightening,10.5,9,10,5,2,2,6,0,4.5,5,5,5,10.5,8.5,6.5,6.5,7.5,5.5,8.5,5.5,5.5,6,7,5,5,6.5,5.5,4.5,8.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,22,Olay_brightening,12,8,12,3.5,1,3,4.5,0,0,4.5,3,3,12.5,8,9,7.5,8,7.5,6,7,7,8,5.5,6.5,6.5,8.5,4.5,6,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,2,Olay_brightening,12.5,10.5,10,4.5,1,1,8,1,1,3,5.5,4.5,9,8.5,6.5,6.5,7,7,7,7,6,6,6,6,5,5,5,5,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,3,Olay_brightening,8,8,8,6,3,2.5,6.5,1,1,4.5,4.5,3,9.5,6.5,9,6.5,9.5,6.5,9.5,9.5,6.5,6,8,6.5,6,7,7.5,6.5,8.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,6,Olay_brightening,8,7.5,12.5,2,1,1.5,6,0.5,0.5,4.5,3,2,10,9,6,8,7,6,5,5,5,5,4,4.5,4,7.5,3,3,9,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,7,Olay_brightening,10,12,8.5,6,1,3,5,0,0,4,2,3.5,11,10.5,6,7,6.5,6.5,6.5,6.5,6,8,5,5,5,9,4.5,4.5,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,10,Olay_brightening,9,11,7.5,5,1,1.5,4,1,0.5,2,2,2,12,6,8,8,9,7.5,7.5,7.5,8,6,6.5,6,7,5.5,6,5,7.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,11,Olay_brightening,10,10,6.5,2.5,2.5,3,3,2,2,6,5,2,10.5,3.5,7.5,4.5,7.5,4.5,3,7,7,5,3,6,6,5,3,5,7,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,12,Olay_brightening,12.5,9,9,4,1,2.5,7,1,1,7,6,1,10.5,6,7.5,4.5,7.5,6.5,6.5,7.5,7,7.5,6,7,6.5,7.5,3.5,6,8.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,14,Olay_brightening,10,11.5,8,5,4,3.5,6,0,0,7,2.5,2.5,9,7,6,5,7.5,6.5,6,6.5,6.5,6.5,6,7,6.5,7,6,6.5,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,15,Olay_brightening,10,11.5,9.5,4.5,1,1.5,7,0,0,4,1.5,2,9.5,6,7.5,6.5,9,8,6.5,5.5,8.5,8,7,5,8,8,6.5,4,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,16,Olay_brightening,11.5,10,12,5,2,2,2.5,1.5,1.5,2.5,2,2.5,9.5,8.5,6.5,7,7,7,6.5,6.5,6,8,4.5,4.5,5.5,8.5,3.5,3.5,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,17,Olay_brightening,10,9,10,5,1.5,2,6,0,0,5,6,5.5,9.5,7,8,7,8,6.5,8.5,7,5.5,6.5,6,5.5,5,7.5,4,4,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,22,Olay_brightening,12,8,12,3.5,1,3,4.5,0,0,4.5,3,3,12.5,8,9.5,7.5,8.5,8,6,7,7.5,8,5.5,6.5,6.5,8.5,4,6,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,2,Estee_advanced,12,11.5,11,4,1.5,1.5,8,1,1,4,4,3.5,11.5,10,5.5,8.5,8.5,8.5,7.5,8,7.5,7,6.5,7,6.5,6,5.5,6,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,3,Estee_advanced,11,10,8.5,5.5,3,2.5,6,1,1,5,4.5,3.5,10,6.5,9,7.5,10,7,8.5,9,9.5,6,8.5,9,9.5,6,9,9,4.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,6,Estee_advanced,10,8,9,3.5,0.5,0.5,7,0.5,0.5,4,4,2.5,10,9,6,6,8,7.5,7.5,7.5,5,5.5,4,4,4,5,5,5,10.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,7,Estee_advanced,14,14,8,5.5,1,5.5,5,0,0,3.5,2,3.5,11,11,8,7,9,5,9.5,9.5,8.5,5.5,8.5,8.5,8,6,8,8,5.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,10,Estee_advanced,12,12,14.5,4,1,6,2,1,0.5,2,2,2,12,5,9,8,12,8,7.5,7.5,11,6,6,6,10,5,5.5,5.5,7,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,11,Estee_advanced,10,12,7.5,2,1.5,7.5,3.5,2,2,5.5,4,2.5,10,4.5,6,3,7.5,6,6,7.5,7,3.5,3.5,6.5,6,3,2.5,5,9,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,12,Estee_advanced,13,9,11.5,2.5,1,6,8.5,1,1,8.5,5.5,1,12,6.5,9,5,9,6,4,7.5,8,6.5,3.5,7,7,7.5,3.5,6.5,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,14,Estee_advanced,12,12,9.5,3,3,3,6,0,0,7.5,2,2,9,7.5,6,7,9,9,7,7.5,7.5,6.5,6.5,7,7.5,6,6.5,7.5,8,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,15,Estee_advanced,12,12.5,7.5,3,1,6,6.5,0,0,3,1,1.5,12.5,5,8.5,5,10.5,7.5,6.5,12,10,7,6,11.5,9.5,7.5,6,10.5,3,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,16,Estee_advanced,10.5,8.5,13.5,4,1.5,1.5,2.5,1.5,1.5,2.5,2,2.5,9.5,8.5,7,8,9.5,7,7.5,8,8.5,7.5,6.5,7,8,6.5,6,6,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,17,Estee_advanced,13,11,10,5,2.5,6,6.5,0.5,0.5,5,6,5,11,6.5,8.5,7.5,9.5,7.5,7.5,8.5,8,7.5,6,6.5,6.5,8,4,5.5,7,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
1,22,Estee_advanced,12.5,9.5,11.5,3,1.5,5,4,3.5,0,6,2.5,2.5,11,8,9.5,7.5,10.5,8,5,8,9,6.5,5,7.5,8,8,6,7,5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,2,Estee_advanced,12.5,11,11,3.5,1,1,7.5,1,1,3.5,3.5,3,10.5,9.5,5.5,8.5,8.5,7,7.5,7.5,7,6,6.5,6.5,6,5.5,5.5,5.5,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,3,Estee_advanced,10,9.5,8.5,5,3,3,6,1.5,1.5,4,4.5,3,9.5,6,9,6.5,9.5,6.5,8.5,9,9,5.5,8.5,8,9,5.5,8.5,8.5,6,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,6,Estee_advanced,10,8.5,12.5,2,1,1,6,0.5,0.5,5,1,1,11,10,6,6,8,7.5,6,7.5,5.5,5.5,5.5,6,4,5,3.5,4,9,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
2,7,Estee_advanced,14,14,8,6,1,5,5,0,0,4,2,3.5,11,10,8.5,7,9.5,4.5,9.5,9.5,9,5,9,9,9,5,8.5,8.5,4.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
